name,lang,,,,
Coccothraustes coccothraustes,es,,,,
Coccothraustes coccothraustes,eo,,,,
Coccothraustes coccothraustes,ru,,,,
Linaria cannabina,en,,,,
Linaria cannabina,nl,,,,
Linaria cannabina,de,,,,
Linaria cannabina,fr,,,,
Linaria cannabina,es,,,,
Linaria cannabina,eo,,,,
Linaria cannabina,ru,,,,
Cuculus canorus,en,,,,
Cuculus canorus,nl,,,,
Cuculus canorus,de,Farbe und Größe der Kuckuckseier sind variabel. Sie richten sich nach dem Aussehen der Eier der Wirtsvögel.,,,
Cuculus canorus,fr,,,,
Cuculus canorus,es,,,,
Cuculus canorus,eo,,,,
Cuculus canorus,ru,,,,
Phasianus colchicus,en,,,,
Phasianus colchicus,nl,,,,
Phasianus colchicus,de,,,,
Phasianus colchicus,fr,,,,
Phasianus colchicus,es,,,,
Phasianus colchicus,eo,,,,
Phasianus colchicus,ru,,,,
Ciconia ciconia,en,,,,
Ciconia ciconia,nl,,,,
Ciconia ciconia,de,"Der Weißstorch wird auch „Klapperstorch“ genannt, was auf das laute, charakteristische Klappern des Schnabels am Nest zurückzuführen ist.",,,
Ciconia ciconia,fr,,,,
Ciconia ciconia,es,,,,
Ciconia ciconia,eo,,,,
Ciconia ciconia,ru,,,,
Corvus frugilegus,en,,,,
Corvus frugilegus,nl,,,,
Corvus frugilegus,de,"Saatkrähen machen sich während der Balzzeit gegenseitig Geschenke, meist in Form von Futter.",,,
Corvus frugilegus,fr,,,,
Corvus frugilegus,es,,,,
Corvus frugilegus,eo,,,,
Corvus frugilegus,ru,,,,
Accipiter nisus,en,,,,
Accipiter nisus,nl,,,,
Accipiter nisus,de,"Neuerdings brüten Sperber auch mitten in Großstädten, zum Beispiel auf Friedhöfen oder in Parks.",,,
Accipiter nisus,fr,,,,
Accipiter nisus,es,,,,
Accipiter nisus,eo,,,,
Accipiter nisus,ru,,,,
Spatula clypeata,en,,,,
Spatula clypeata,nl,,,,
Spatula clypeata,de,Löffelenten brüten auch in wiedervernässten Hochmooren nach dem Torfabbau.,,,
Spatula clypeata,fr,,,,
Spatula clypeata,es,,,,
Spatula clypeata,eo,,,,
Spatula clypeata,ru,,,,
Mergus merganser,en,,,,
Mergus merganser,nl,,,,
Mergus merganser,de,"Frisch geschlüpfte Jungen müssen sich gegebenenfalls einige Meter tief aus dem Nest auf den Boden stürzen. Dies meistern sie, ohne Schaden davonzutragen.",,,
Mergus merganser,fr,,,,
Mergus merganser,es,,,,
Mergus merganser,eo,,,,
Mergus merganser,ru,,,,
Curruca communis,en,,,,
Curruca communis,nl,,,,
Curruca communis,de,,,,
Curruca communis,fr,,,,
Curruca communis,es,,,,
Curruca communis,eo,,,,
Curruca communis,ru,,,,
Turdus viscivorus,en,,,,
Turdus viscivorus,nl,,,,
Turdus viscivorus,de,Durch das Auskoten der Beeren trägt die Misteldrossel stark zur Verbreitung der Pflanze bei und verteidigt „ihre Mistelbäume“ aggressiv gegenüber Nahrungskonkurrenten.,,,
Turdus viscivorus,fr,,,,
Turdus viscivorus,es,,,,
Turdus viscivorus,eo,,,,
Turdus viscivorus,ru,,,,
Mareca penelope,en,,,,
Mareca penelope,nl,,,,
Mareca penelope,de,Für ihre nächtliche Nahrungssuche hat die Pfeifente eine reflektierende Schicht im Auge. Wie eine Katze kann sie damit auch nachts sehr gut sehen.,,,
Mareca penelope,fr,,,,
Mareca penelope,es,,,,
Mareca penelope,eo,,,,
Mareca penelope,ru,,,,
Periparus ater,en,,,,
Periparus ater,nl,,,,
Periparus ater,de,"20- bis 56-mal fliegt die Tannenmeise stündlich mit Nahrung zu den Jungen, wenn sie größer sind.",,,
Periparus ater,fr,,,,
Periparus ater,es,,,,
Periparus ater,eo,,,,
Periparus ater,ru,,,,
Motacilla flava,en,,,,
Motacilla flava,nl,,,,
Motacilla flava,de,"Ihren Namen verdankt sie der Eigenschaft, Weidetieren auf der Suche nach Nahrung zu folgen und von ihnen aufgescheuchte Insekten zu fressen.",,,
Motacilla flava,fr,,,,
Motacilla flava,es,,,,
Motacilla flava,eo,,,,
Motacilla flava,ru,,,,
Anthus pratensis,en,,,,
Anthus pratensis,nl,,,,
Anthus pratensis,de,Der Kuckuck legt gern sein Ei in das Nest des Wiesenpiepers.,,,
Anthus pratensis,fr,,,,
Anthus pratensis,es,,,,
Anthus pratensis,eo,,,,
Anthus pratensis,ru,,,,
Larus canus,en,,,,
Larus canus,nl,,,,
Larus canus,de,Die älteste beringte Sturmmöwe war über 33 Jahre alt.,,,
Larus canus,fr,,,,
Larus canus,es,,,,
Larus canus,eo,,,,
Larus canus,ru,,,,
Acrocephalus scirpaceus,en,,,,
Acrocephalus scirpaceus,nl,,,,
Acrocephalus scirpaceus,de,"Der Teichrohrsänger ist ein Schnellflieger unter den Vögeln, pro Sekunde schafft er in etwa zehn Meter.",,,
Acrocephalus scirpaceus,fr,,,,
Acrocephalus scirpaceus,es,,,,
Acrocephalus scirpaceus,eo,,,,
Acrocephalus scirpaceus,ru,,,,
Circus aeruginosus,en,,,,
Circus aeruginosus,nl,,,,
Circus aeruginosus,de,"Ihr Name deutet darauf hin, dass sie häufig in Röhrichten brütet.",,,
Circus aeruginosus,fr,,,,
Circus aeruginosus,es,,,,
Circus aeruginosus,eo,,,,
Circus aeruginosus,ru,,,,
Motacilla cinerea,en,,,,
Motacilla cinerea,nl,,,,
Motacilla cinerea,de,"Das schnelle Wippen des Schwanzes ist wahrscheinlich als Signal zu deuten, weniger als Balancehilfe.",,,
Motacilla cinerea,fr,,,,
Motacilla cinerea,es,,,,
Motacilla cinerea,eo,,,,
Motacilla cinerea,ru,,,,
Bucephala clangula,en,,,,
Bucephala clangula,nl,,,,
Bucephala clangula,de,Die gerade geschlüpften Schellentenküken springen aus den Nisthöhlen zum Teil über zehn Meter auf den Boden und tun sich nichts.,,,
Bucephala clangula,fr,,,,
Bucephala clangula,es,,,,
Bucephala clangula,eo,,,,
Bucephala clangula,ru,,,,
Larus michahellis,en,,,,
Larus michahellis,nl,,,,
